accuracy,loss,val_accuracy,val_loss
0.28125,1.3409639596939087,0.5,1.0854164361953735
0.3125,1.207775354385376,0.3333333432674408,1.1124720573425293
0.3645833432674408,1.1246070861816406,0.3333333432674408,1.115390658378601
0.3645833432674408,1.075355887413025,0.3333333432674408,1.0848567485809326
0.34375,1.0991657972335815,0.3333333432674408,1.0647209882736206
0.3854166567325592,1.0612517595291138,0.5,1.0318626165390015
0.4479166567325592,1.04334557056427,0.5,1.0080612897872925
0.4270833432674408,1.0509461164474487,0.5,0.9923350214958191
0.5208333134651184,0.9955138564109802,0.5,0.9610328674316406
0.4895833432674408,0.9822233319282532,0.5,0.9427759051322937
0.4791666567325592,0.9927250742912292,0.5,0.9299935698509216
0.5833333134651184,0.896719753742218,0.5,0.92730712890625
0.5104166865348816,0.9265874028205872,0.5,0.8992102742195129
0.5729166865348816,0.9030457139015198,0.75,0.9210056662559509
0.5625,0.9143698811531067,0.5,0.8708376288414001
0.5104166865348816,0.9216408133506775,0.5833333134651184,0.8519023060798645
0.6354166865348816,0.8531959056854248,0.75,0.8600495457649231
0.6145833134651184,0.8357643485069275,0.5,0.8472476005554199
0.5833333134651184,0.8511361479759216,0.5833333134651184,0.8023959994316101
0.6354166865348816,0.8373701572418213,0.75,0.829246997833252
0.6354166865348816,0.7977816462516785,0.6666666865348816,0.7838075160980225
0.6666666865348816,0.8077170848846436,0.75,0.8308596611022949
0.6979166865348816,0.7577393054962158,0.6666666865348816,0.7672514915466309
0.7083333134651184,0.7020347714424133,0.75,0.7947349548339844
0.71875,0.7013821601867676,0.6666666865348816,0.7262153625488281
0.6875,0.673511266708374,0.75,0.7661053538322449
0.7395833134651184,0.64581298828125,0.75,0.6905994415283203
0.7083333134651184,0.6682548522949219,0.75,0.7126893997192383
0.7708333134651184,0.6543512940406799,0.75,0.6798561215400696
0.71875,0.6405366063117981,0.75,0.6889734268188477
0.7708333134651184,0.5862529277801514,0.8333333134651184,0.6700142025947571
0.7708333134651184,0.5391485691070557,0.75,0.7212012410163879
0.7916666865348816,0.514150857925415,0.8333333134651184,0.6217438578605652
0.7708333134651184,0.5189195275306702,0.75,0.653654932975769
0.71875,0.6064456105232239,0.8333333134651184,0.6940698623657227
0.78125,0.5023759007453918,0.8333333134651184,0.6999475359916687
0.78125,0.48210427165031433,0.75,0.5749223828315735
0.8125,0.5061203837394714,0.8333333134651184,0.6355600953102112
0.7916666865348816,0.532695472240448,0.8333333134651184,0.5802770256996155
0.7395833134651184,0.5259656310081482,0.8333333134651184,0.5914823412895203
0.7708333134651184,0.5295248031616211,0.8333333134651184,0.594303548336029
0.7916666865348816,0.5277242660522461,0.9166666865348816,0.5854888558387756
