accuracy,loss,val_accuracy,val_loss
0.3333333432674408,1.2105985879898071,0.3333333432674408,1.1592978239059448
0.34375,1.24897301197052,0.3333333432674408,1.0876938104629517
0.4270833432674408,1.0641613006591797,0.5,1.061688780784607
0.4270833432674408,1.05899178981781,0.75,1.0329748392105103
0.59375,0.9898347854614258,0.5,1.010440707206726
0.6145833134651184,0.9662208557128906,0.5,0.9645057320594788
0.59375,0.920200526714325,0.5,0.9209751486778259
0.6875,0.8383221626281738,0.5833333134651184,0.8790078163146973
0.6770833134651184,0.7585771679878235,0.75,0.8466773629188538
0.625,0.8662521243095398,0.5,0.8509942889213562
0.6145833134651184,0.7736193537712097,0.6666666865348816,0.7819964289665222
0.6875,0.7470219135284424,0.75,0.7815365791320801
0.8125,0.6371357440948486,0.5833333134651184,0.7736242413520813
0.6979166865348816,0.6716818809509277,0.75,0.719698429107666
0.7708333134651184,0.6178337931632996,0.75,0.7083132863044739
0.8333333134651184,0.5632719397544861,0.75,0.6930582523345947
0.8229166865348816,0.46553197503089905,0.8333333134651184,0.6873415112495422
0.8020833134651184,0.5079915523529053,0.75,0.7345796227455139
0.8541666865348816,0.4502955675125122,0.8333333134651184,0.6866665482521057
0.875,0.42086219787597656,0.75,0.6844658255577087
0.8541666865348816,0.4054011404514313,0.8333333134651184,0.6257045269012451
0.8854166865348816,0.37762412428855896,0.75,0.6326541304588318
0.9479166865348816,0.3016219437122345,0.75,0.6455109715461731
0.9166666865348816,0.29457804560661316,0.8333333134651184,0.6652218699455261
0.875,0.325060099363327,0.8333333134651184,0.662007749080658
0.8958333134651184,0.2888930141925812,0.8333333134651184,0.6685190796852112
